SeriesName_1: GDP: Gross domestic product (line 1) [Millions],Series Code_2: A191RC-Q,SeriesName_2: Employment: Total nonfarm  [Thousands],SeriesCode_2: CES0000000001
Date_1,GDP: Gross domestic product (line 1) [Millions],Date_2,Employment: Total nonfarm  [Thousands]
,,10-2003,130454.0
,,11-2003,130474.0
,,12-2003,130588.0
,,01-2004,130769.0
,,02-2004,130825.0
,,03-2004,131142.0
,,04-2004,131411.0
,,05-2004,131694.0
,,06-2004,131793.0
,,07-2004,131848.0
,,08-2004,131937.0
,,09-2004,132093.0
,,10-2004,132447.0
,,11-2004,132503.0
,,12-2004,132624.0
,,01-2005,132774.0
,,02-2005,133032.0
,,03-2005,133156.0
,,04-2005,133518.0
,,05-2005,133690.0
,,06-2005,133942.0
,,07-2005,134296.0
,,08-2005,134498.0
,,09-2005,134566.0
,,10-2005,134655.0
,,11-2005,134993.0
,,12-2005,135149.0
,,01-2006,135429.0
,,02-2006,135737.0
,,03-2006,136047.0
,,04-2006,136205.0
,,05-2006,136244.0
,,06-2006,136325.0
,,07-2006,136520.0
,,08-2006,136694.0
,,09-2006,136843.0
,,10-2006,136852.0
,,11-2006,137063.0
,,12-2006,137249.0
,,01-2007,137477.0
,,02-2007,137558.0
,,03-2007,137793.0
,,04-2007,137842.0
,,05-2007,137993.0
,,06-2007,138069.0
,,07-2007,138038.0
,,08-2007,138015.0
,,09-2007,138095.0
,,10-2007,138174.0
,,11-2007,138284.0
,,12-2007,138392.0
,,01-2008,138403.0
,,02-2008,138324.0
,,03-2008,138275.0
,,04-2008,138035.0
,,05-2008,137858.0
,,06-2008,137687.0
,,07-2008,137491.0
,,08-2008,137213.0
,,09-2008,136753.0
,,10-2008,136272.0
,,11-2008,135545.0
,,12-2008,134839.0
,,01-2009,134055.0
,,02-2009,133312.0
,,03-2009,132512.0
,,04-2009,131817.0
,,05-2009,131475.0
,,06-2009,131008.0
,,07-2009,130668.0
,,08-2009,130485.0
,,09-2009,130244.0
,,10-2009,130045.0
,,11-2009,130057.0
,,12-2009,129788.0
,,01-2010,129790.0
,,02-2010,129698.0
,,03-2010,129879.0
,,04-2010,130110.0
,,05-2010,130650.0
,,06-2010,130511.0
